Nome,Cpf,Senha,Reais,Bitcoin,Ethereum,Ripple
Josias,00000000011,000001,10.00,00.00,00.00,00.00
Elvis,000000000022,000002,10.00,00.00,00.00,00.00
Edmilson,00000000033,000003,10.00,00.00,00.00,00.00
Valmira,00000000044,000004,10.00,00.00,00.00,00.00
Olga,00000000055,000005,10.00,00.00,00.00,00.00
Cleide,00000000066,000006,2050.00,00.00,00.00,00.00
Dalva,00000000077,000007,00.00,00.00,00.00,00.00
Carlinhos,00000000088,000008,2050.00,00.00,00.00,00.00
Kleber,00000000099,000009,10.00,00.00,00.00,00.00
X AE A-Xii,00000000100,000010,1000000000000.00,10000000.50,00.80,08.00
